dtm_start,dtm_end,month,weekday,value,mean,median,std,min,max,value_k1,mean_k1,median_k1,std_k1,min_k1,max_k1,value_k2,mean_k2,median_k2,std_k2,min_k2,max_k2
2023-08-30 00:00:00,2023-08-30 01:00:00,8,2,14.790000000000006,0.06162500000000003,0.06,0.0076716753392241715,0.04,0.08,14.730000000000006,0.06137500000000003,0.06,0.007611445356724968,0.04,0.07,14.610000000000007,0.060875000000000026,0.06,0.00624340656396911,0.04,0.07
2023-08-30 01:00:00,2023-08-30 02:00:00,8,2,14.730000000000006,0.06137500000000003,0.06,0.007611445356724968,0.04,0.07,14.610000000000007,0.060875000000000026,0.06,0.00624340656396911,0.04,0.07,14.560000000000006,0.06066666666666669,0.06,0.006934642082250973,0.04,0.07
2023-08-30 02:00:00,2023-08-30 03:00:00,8,2,14.610000000000007,0.060875000000000026,0.06,0.00624340656396911,0.04,0.07,14.560000000000006,0.06066666666666669,0.06,0.006934642082250973,0.04,0.07,14.270000000000007,0.05945833333333336,0.06,0.007326681717737336,0.04,0.07
2023-08-30 03:00:00,2023-08-30 04:00:00,8,2,14.560000000000006,0.06066666666666669,0.06,0.006934642082250973,0.04,0.07,14.270000000000007,0.05945833333333336,0.06,0.007326681717737336,0.04,0.07,14.670000000000005,0.06112500000000002,0.06,0.0070254319839188175,0.04,0.07
2023-08-30 04:00:00,2023-08-30 05:00:00,8,2,14.270000000000007,0.05945833333333336,0.06,0.007326681717737336,0.04,0.07,14.670000000000005,0.06112500000000002,0.06,0.0070254319839188175,0.04,0.07,14.220000000000006,0.059250000000000025,0.06,0.00629305255502058,0.04,0.07
2023-08-30 05:00:00,2023-08-30 06:00:00,8,2,14.670000000000005,0.06112500000000002,0.06,0.0070254319839188175,0.04,0.07,14.220000000000006,0.059250000000000025,0.06,0.00629305255502058,0.04,0.07,21.84,0.091,0.07,0.042778010227169476,0.04,0.2
2023-08-30 06:00:00,2023-08-30 07:00:00,8,2,14.220000000000006,0.059250000000000025,0.06,0.00629305255502058,0.04,0.07,21.84,0.091,0.07,0.042778010227169476,0.04,0.2,69.96000000000001,0.29150000000000004,0.31,0.07412135249304001,0.17,0.43
2023-08-30 07:00:00,2023-08-30 08:00:00,8,2,21.84,0.091,0.07,0.042778010227169476,0.04,0.2,69.96000000000001,0.29150000000000004,0.31,0.07412135249304001,0.17,0.43,92.35000000000001,0.3847916666666667,0.38,0.032982154635609426,0.32,0.47
2023-08-30 08:00:00,2023-08-30 09:00:00,8,2,69.96000000000001,0.29150000000000004,0.31,0.07412135249304001,0.17,0.43,92.35000000000001,0.3847916666666667,0.38,0.032982154635609426,0.32,0.47,100.72999999999999,0.4197083333333333,0.42,0.042666341144591564,0.33,0.51
2023-08-30 09:00:00,2023-08-30 10:00:00,8,2,92.35000000000001,0.3847916666666667,0.38,0.032982154635609426,0.32,0.47,100.72999999999999,0.4197083333333333,0.42,0.042666341144591564,0.33,0.51,115.94,0.4830833333333333,0.47,0.037389633032412425,0.41,0.58
2023-08-30 10:00:00,2023-08-30 11:00:00,8,2,100.72999999999999,0.4197083333333333,0.42,0.042666341144591564,0.33,0.51,115.94,0.4830833333333333,0.47,0.037389633032412425,0.41,0.58,98.13999999999999,0.4089166666666666,0.4,0.040027100303630235,0.33,0.49
2023-08-30 11:00:00,2023-08-30 12:00:00,8,2,115.94,0.4830833333333333,0.47,0.037389633032412425,0.41,0.58,98.13999999999999,0.4089166666666666,0.4,0.040027100303630235,0.33,0.49,99.31,0.41379166666666667,0.4,0.044891761194589166,0.29,0.53
2023-08-30 12:00:00,2023-08-30 13:00:00,8,2,98.13999999999999,0.4089166666666666,0.4,0.040027100303630235,0.33,0.49,99.31,0.41379166666666667,0.4,0.044891761194589166,0.29,0.53,95.06,0.39608333333333334,0.39,0.0340267144209036,0.34,0.5
2023-08-30 13:00:00,2023-08-30 14:00:00,8,2,99.31,0.41379166666666667,0.4,0.044891761194589166,0.29,0.53,95.06,0.39608333333333334,0.39,0.0340267144209036,0.34,0.5,2.5399999999999996,0.3628571428571428,0.36,0.007559289460184551,0.36,0.38
2023-08-30 14:00:00,2023-08-30 15:00:00,8,2,95.06,0.39608333333333334,0.39,0.0340267144209036,0.34,0.5,2.5399999999999996,0.3628571428571428,0.36,0.007559289460184551,0.36,0.38,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-30 15:00:00,2023-08-30 16:00:00,8,2,2.5399999999999996,0.3628571428571428,0.36,0.007559289460184551,0.36,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
